RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;28/09/2023;Aprovada com ressalvas;Decisão Monocrática;'157036175' ;'-' ;;23/10/2017;20/08/2018;;;-;-;253100;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'87052013' ;23/04/2013;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;16/05/2018;Aprovada com ressalvas;Decisão Monocrática;'199622012' ;'-' ;;23/04/2018;14/05/2018;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94312013' ;30/04/2013;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;16/05/2018;Aprovada com ressalvas;Decisão Monocrática;'23689' ;'-' ;;02/04/2018;11/04/2018;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94732013' ;30/04/2013;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'93662013' ;30/04/2013;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;24/10/2018;Aprovada com ressalvas;Decisão Monocrática;'234-22' ;'-' ;;26/04/2018;15/10/2018;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'95382013' ;30/04/2013;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;08/09/2023;Desaprovada;Acórdão;'24636' ;'-' ;;30/04/2018;17/11/2022;01/04/2023;31/07/2023;-;-;5442512.43;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'95142013' ;30/04/2013;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;21/02/2018;Aprovada com ressalvas;Acórdão;'244662013' ;'-' ;;02/02/2018;19/02/2018;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - DC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94362013' ;30/04/2013;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - DC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;18/06/2018;Desaprovada;Acórdão;'237742013' ;'-' ;;13/04/2018;07/06/2018;08/07/2018;08/10/2018;-;0;3168.96;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94432013' ;30/04/2013;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;25/10/2017;Aprovada com ressalvas;Decisão Monocrática;'94432013' ;'-' ;;06/10/2017;19/10/2017;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'92482013' ;30/04/2013;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;26/11/2018;Aprovada com ressalvas;Decisão Monocrática;'22645' ;'-' ;;27/04/2018;13/08/2018;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'93502013' ;30/04/2013;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;19/10/2017;Aprovada com ressalvas;Decisão Monocrática;'232522013' ;'-' ;;29/09/2017;13/10/2017;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'93442014' ;28/04/2014;;;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;21/09/2023;Desaprovada;Acórdão;'156967358' ;'-' ;;27/06/2019;19/11/2021;01/05/2022;30/06/2022;-;-;5210521.67;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'91902013' ;29/04/2013;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;06/06/2018;Aprovada com ressalvas;Acórdão;'223902013' ;'-' ;;07/05/2018;17/05/2018;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94422013' ;30/04/2013;;;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;04/10/2019;Desaprovada Parcial;Acórdão;'23859' ;'-' ;;24/05/2019;28/08/2019;01/10/2019;31/10/2019;-;-;137092.06;Sim;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'90592013' ;26/04/2013;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;08/05/2018;Aprovada com ressalvas;Decisão Monocrática;'215162012' ;'-' ;;27/04/2018;07/05/2018;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'95172013' ;30/04/2013;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;16/05/2018;Aprovada com ressalvas;Decisão Monocrática;'245512013' ;'-' ;;30/04/2018;10/05/2018;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'91642013' ;29/04/2013;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;08/05/2018;Aprovada com ressalvas;Decisão Monocrática;'22038' ;'-' ;;05/02/2018;30/04/2018;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'87732013' ;24/04/2013;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;06/06/2018;Aprovada com ressalvas;Decisão Monocrática;'202172013' ;'-' ;;31/10/2017;09/05/2018;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'93472013' ;30/04/2013;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;14/08/2019;Aprovada com ressalvas;Acórdão;'231-67/2013' ;'-' ;;18/03/2015;23/03/2015;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'92532011' ;28/04/2011;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;09/09/2016;Desaprovada Parcial;Acórdão;'77356' ;'-' ;;19/05/2016;24/08/2016;01/01/2017;28/02/2017;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'93682011' ;28/04/2011;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;08/06/2016;Desaprovada Parcial;Acórdão;'88185' ;'-' ;;12/05/2016;19/08/2016;;;-;0;77705.62;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'93272011' ;28/04/2011;;;;;-;-;-;Não;
