RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;28/06/2016;Aprovada com ressalvas;Decisão Monocrática;'80816' ;'-' ;;04/05/2016;22/06/2016;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - PT do B;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'93882011' ;29/04/2011;;;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - PT do B;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;24/11/2018;Aprovada com ressalvas;Decisão Monocrática;'89909' ;'-' ;;04/05/2016;04/10/2016;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PTN;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'93982011' ;29/04/2011;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PTN;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;16/06/2016;Aprovada com ressalvas;Acórdão;'s/n' ;'-' ;;19/05/2016;03/06/2016;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'96262011' ;02/05/2011;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;09/09/2016;Aprovada com ressalvas;Acórdão;'93029' ;'-' ;;12/08/2016;24/08/2016;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'79722012' ;30/04/2012;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;26/10/2018;Desaprovada;Decisão Monocrática;'257022012' ;'-' ;;02/05/2017;17/08/2018;18/09/2019;18/10/2019;-;0;92786.04;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'78892012' ;27/04/2012;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;16/05/2017;Aprovada com ressalvas;Decisão Monocrática;'252-77' ;'-' ;;02/05/2017;11/05/2017;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80202012' ;30/04/2012;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;25/11/2018;Desaprovada;Acórdão;'26054' ;'-' ;;26/04/2017;30/11/2018;01/01/2019;31/03/2019;-;-;271324.12;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'79342012' ;30/04/2012;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;02/06/2017;Aprovada com ressalvas;Acórdão;'255-32' ;'-' ;;16/05/2017;25/05/2017;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80172012' ;30/04/2012;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;26/04/2018;Aprovada com ressalvas;Acórdão;'265762012' ;'-' ;;30/05/2017;23/04/2018;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'76632012' ;25/04/2012;;;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;23/02/2018;Aprovada com ressalvas;Decisão Monocrática;'232-86' ;'-' ;;27/04/2017;21/02/2018;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'79372012' ;30/04/2012;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80002012' ;30/04/2012;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;29/03/2019;Aprovada com ressalvas;Acórdão;'272682012' ;'-' ;;12/03/2018;21/02/2019;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80062012' ;30/04/2012;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;18/02/2022;Prescrição;Decisão Monocrática;'00002649120126000000' ;'-' ;;25/10/2019;08/09/2021;;;-;-;-;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80152012' ;30/04/2012;;;;;-;-;-;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;25/10/2017;Aprovada com ressalvas;Acórdão;'267462012' ;'-' ;;08/06/2017;04/10/2017;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80252012' ;30/04/2012;;;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;22/09/2017;Desaprovada;Acórdão;'269162012' ;'-' ;;07/06/2017;08/09/2017;08/09/2017;08/12/2017;-;-;2268109.49;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80552012' ;30/04/2012;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;26/05/2017;Aprovada;Acórdão;'276-08' ;'-' ;;16/05/2017;22/05/2017;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'78342012' ;27/04/2012;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;16/01/2019;Aprovada com ressalvas;Acórdão;'247-55' ;'-' ;;01/03/2018;13/09/2018;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'76322012' ;25/04/2012;;;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;26/08/2019;Aprovada com ressalvas;Decisão Monocrática;'230192012' ;'-' ;;27/04/2017;24/09/2018;;;-;-;66339.27;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80012012' ;30/04/2012;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;16/01/2019;Desaprovada Parcial;Decisão Monocrática;'25969' ;'-' ;;02/05/2017;28/06/2018;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'78742012' ;27/04/2012;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;01/06/2017;Aprovada com ressalvas;Acórdão;'250-10' ;'-' ;;12/05/2017;17/05/2017;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80302012' ;30/04/2012;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;09/08/2019;Desaprovada;Acórdão;'271832012' ;'-' ;;18/04/2017;14/06/2019;15/06/2019;15/08/2019;-;-;3200161.72;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80542012' ;30/04/2012;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;25/11/2018;Aprovada com ressalvas;Decisão Monocrática;'27438' ;'-' ;;02/05/2017;23/08/2017;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'78502012' ;27/04/2012;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;12/05/2017;Aprovada com ressalvas;Acórdão;'248-40' ;'-' ;;07/04/2017;08/05/2017;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80222012' ;30/04/2012;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;04/10/2017;Desaprovada Parcial;Acórdão;'266612012' ;'-' ;;02/06/2017;27/09/2017;28/10/2017;28/11/2017;-;0;519018.62;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80262012' ;30/04/2012;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;14/08/2019;Aprovada com ressalvas;Acórdão;'27098' ;'-' ;;02/03/2018;09/08/2018;;;-;-;133737.51;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80112012' ;30/04/2012;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;22/09/2017;Aprovada com ressalvas;Acórdão;'261-39.2012.6.00.000' ;'-' ;;24/05/2017;04/09/2017;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'78772012' ;27/04/2012;;;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;06/12/2017;Desaprovada Parcial;Acórdão;'249252012' ;'-' ;;10/08/2017;30/11/2017;01/01/2018;31/01/2018;-;0;6379183.32;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'78092012' ;26/04/2012;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;14/09/2023;Aprovada com ressalvas;Decisão Monocrática;'107715588' ;'-' ;;27/04/2017;08/05/2017;;;-;0;117552.95;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - PT do B;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80292012' ;30/04/2012;;;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - PT do B;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;02/04/2019;Aprovada com ressalvas;Acórdão;'273532012' ;'-' ;;15/06/2018;13/02/2019;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PTN;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'79462012' ;30/04/2012;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PTN;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;11/09/2018;Desaprovada;Decisão Monocrática;'256172012' ;'-' ;;18/04/2017;20/08/2018;21/09/2018;21/11/2018;-;0;439746.09;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'80352012' ;30/04/2012;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;12/05/2017;Aprovada com ressalvas;Acórdão;'275-23' ;'-' ;;07/04/2017;24/04/2017;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'77122012' ;25/04/2012;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;11/07/2016;Aprovada com ressalvas;Decisão Monocrática;'-' ;'-' ;;20/06/2016;01/07/2016;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'78442012' ;27/04/2011;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2011;BR - BRASIL;-;Julgada;12/05/2017;Aprovada com ressalvas;Decisão Monocrática;'246-70' ;'-' ;;24/04/2017;08/05/2017;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;12/03/2014;-;-;'-' ;'9508/2013' ;30/04/2013;;;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;26/09/2018;Aprovada com ressalvas;Acórdão;'243812013' ;'-' ;;01/06/2018;14/09/2018;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'94302014' ;29/04/2014;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;24/09/2021;Desaprovada;Acórdão;'0000285962014600000' ;'-' ;;30/04/2019;09/03/2020;22/09/2021;22/12/2021;-;-;2802902.3;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'93552014' ;28/04/2014;;;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;02/05/2022;Desaprovada;Acórdão;'0000282-44.2014.6.00' ;'-' ;;15/06/2021;18/06/2021;26/04/2022;;-;-;2376967.45;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'90862014' ;24/04/2014;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;21/09/2023;Desaprovada;Acórdão;'156942051' ;'-' ;;06/06/2019;25/02/2021;;;-;-;747861.17;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'95342014' ;29/04/2014;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;14/08/2019;Desaprovada;Acórdão;'292882014' ;'-' ;;08/05/2019;17/05/2019;01/09/2019;30/09/2019;-;-;398642.99;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96422014' ;30/04/2014;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;14/06/2019;Desaprovada;Acórdão;'314492014' ;'-' ;;29/05/2019;07/06/2019;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'95702014' ;29/05/2014;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;26/08/2019;Aprovada com ressalvas;Decisão Monocrática;'294582014' ;'-' ;;28/02/2019;12/06/2019;;;-;-;64790;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96032014' ;30/04/2014;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;11/11/2019;Desaprovada;Acórdão;'302352014' ;'-' ;;04/06/2019;11/10/2019;;;-;-;165890.56;Sim;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96392014' ;30/04/2014;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'95042014' ;29/04/2014;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;08/09/2023;Aprovada com ressalvas;Acórdão;'29106' ;'-' ;;19/06/2019;29/06/2020;;;-;-;551623.5;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'94982014' ;29/04/2014;;;;;-;-;-;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;12/11/2021;Desaprovada;Acórdão;'290-21' ;'-' ;;21/06/2019;22/03/2021;22/09/2021;;-;-;1366405.47;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96242014' ;29/04/2014;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'94622014' ;29/04/2014;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;25/03/2019;Aprovada com ressalvas;Decisão Monocrática;'287662014' ;'-' ;;14/03/2019;22/03/2019;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'9291/2014' ;28/04/2014;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;03/06/2019;Aprovada com ressalvas;Acórdão;'280742014' ;'-' ;;16/05/2019;27/05/2019;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'80332014' ;10/04/2014;;;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;26/11/2019;Aprovada com ressalvas;Acórdão;'240922014' ;'-' ;;13/05/2019;11/11/2019;;;-;-;99388.27;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96102014' ;30/04/2014;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;19/09/2023;Desaprovada;Acórdão;'ID 137316938 (parte)' ;'-' ;;27/05/2019;21/06/2021;;;-;-;188957.68;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96412014' ;30/04/2014;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;11/09/2019;Aprovada com ressalvas;Acórdão;'312792014' ;'-' ;;27/05/2019;04/09/2019;;;-;-;266956.61;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96082014' ;30/04/2014;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;25/05/2023;Aprovada com ressalvas;Acórdão;'304-05' ;'-' ;;07/06/2019;18/03/2022;;;-;-;1129139.37;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96402014' ;30/04/2014;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;26/08/2025;Aprovada com ressalvas;Decisão Monocrática;'130181038' ;'-' ;;29/04/2019;20/03/2025;;;-;-;48327;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96012014' ;30/04/2014;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'300-65' ;'-' ;;13/05/2019;17/06/2021;;;-;-;30746.11;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96212014' ;30/04/2014;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;28/08/2019;Aprovada com ressalvas;Acórdão;'305872014' ;'-' ;;12/08/2019;23/08/2019;;;-;-;65532.66;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'94362014' ;29/04/2014;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;11/09/2019;Aprovada com ressalvas;Acórdão;'286812014' ;'-' ;;16/05/2019;02/09/2019;;;-;-;151164.38;Não;
'73282907000245' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'9627/2014' ;30/04/2014;;;;;-;-;-;Não;
'73282907000245' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;25/02/2019;Aprovada com ressalvas;Decisão Monocrática;'308422014' ;'-' ;;11/12/2018;01/02/2019;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96042014' ;30/04/2014;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;13/02/2020;Aprovada com ressalvas;Acórdão;'301502014' ;'-' ;;28/06/2019;12/02/2020;;;-;-;579494.44;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - PT do B;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96772014' ;30/04/2014;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'95742014' ;30/04/2014;;;;;-;-;-;Não;
